ref_id,age_code,age_estimate,age_confidence,beard_state,view_angle,source_type,clothing_context,reference_role,quality_usefulness,status,notes
M35_001,M35,35,confirmed,full_beard,left_profile,portrait,camouflage_uniform,profile_geometry,high,approved,"Confirmed by user as M35"
M35_002,M35,35,confirmed,short_beard,left_profile,portrait,camouflage_uniform,profile_geometry,high,approved,"Confirmed by user as M35"
M35_003,M35,35,confirmed,clean_shaven,front,formal_portrait,dress_uniform,face_geometry_eye_support,high,approved,"Confirmed by user as M35"
M35_004,M35,35,confirmed,full_beard,front,portrait,camouflage_uniform,face_beard_support,high,approved,"Confirmed by user as M35"
M10_001,M10,10,medium,none,front_or_3q,candid_group,casual,identity_support,medium,candidate,"Approx. 9-11 years; user labels batch as M10 circa"
M10_002,M10,10,medium,none,front_or_3q,candid_group,casual,identity_support,medium,candidate,"Approx. 9-11 years; user labels batch as M10 circa"
M10_003,M10,10,medium,none,front_or_3q,candid_group,casual,identity_support,medium,candidate,"Approx. 9-11 years; user labels batch as M10 circa"
M10_004,M10,10,medium,none,front_or_3q,candid_group,casual,identity_support,medium,candidate,"Approx. 9-11 years; user labels batch as M10 circa"
M10_005,M10,10,medium,none,front_or_3q,candid_group,casual,identity_support,medium,candidate,"Approx. 9-11 years; user labels batch as M10 circa"
M10_006,M10,10,medium,none,front_or_3q,candid_group,casual,identity_support,medium,candidate,"Approx. 9-11 years; user labels batch as M10 circa"
M10_007,M10,10,medium,none,front_or_3q,candid_group,casual,identity_support,medium,candidate,"Approx. 9-11 years; user labels batch as M10 circa"
M10_008,M10,10,medium,none,front_or_3q,candid_group,casual,identity_support,medium,candidate,"Approx. 9-11 years; user labels batch as M10 circa"
M10_009,M10,10,medium,none,front_or_3q,candid_group,casual,identity_support,medium,candidate,"Approx. 9-11 years; user labels batch as M10 circa"
M10_010,M10,10,medium,none,front_or_3q,candid_group,casual,identity_support,medium,candidate,"Approx. 9-11 years; user labels batch as M10 circa"
M16_001,M16,16,confirmed,none,front,full_body,naval_uniform,body_proportions_full_body,high,approved,"Confirmed by user as M16; strong full-body proportion reference"
M4_001,M4,4,medium,none,3q_seated,candid,swimwear,body_and_identity_support,medium,candidate,"Approx. 3-4 years; user labels batch as M4 maybe 3"
M4_002,M4,4,medium,none,left_profile_closeup,candid,casual,profile_geometry,high,candidate,"Approx. 3-4 years; strong early-age profile reference"
M4_003,M4,4,medium,none,front,candid,birthday_clothing,face_expression_support,medium,candidate,"Approx. 3-4 years; birthday image"
M4_004,M4,4,medium,none,front_seated,candid,casual_with_hat,body_and_face_support,medium,candidate,"Approx. 3-4 years"
M4_005,M4,4,medium,none,front,candid,birthday_clothing,face_geometry_support,medium,candidate,"Approx. 3-4 years; near-duplicate birthday setup"
M4_006,M4,4,medium,none,front_full_body,candid,casual,body_proportions,medium,candidate,"Approx. 3-4 years; outdoor full-body support"
M4_007,M4,4,medium,none,front_full_body,candid,casual,body_proportions,medium,candidate,"Approx. 3-4 years; outdoor full-body support"
M4_008,M4,4,medium,none,3q_front,candid,birthday_clothing,face_geometry_support,high,candidate,"Approx. 3-4 years; strong early-age face reference"
M4_009,M4,4,medium,none,3q_seated,candid,casual,body_and_identity_support,medium,candidate,"Approx. 3-4 years; amusement-ride context"
